,covid,covid19,litcovid,thcovid,healthcare,healthcares,innovation,innovationand,innovations,20policy,policy,policymaker,policymakers,policymaking
353,1,0,0,0,0,0,0,0,0,0,1,0,0,0
354,1,0,0,0,0,0,1,0,0,0,1,0,0,0
355,3,0,0,0,0,0,1,0,0,0,2,0,0,0
356,0,0,0,0,0,0,4,0,0,0,1,0,0,0
357,1,0,0,0,0,0,1,0,0,0,0,0,0,0
358,3,0,0,0,0,0,2,0,0,0,1,0,0,0
359,5,0,0,0,1,0,5,0,0,0,0,0,0,0
360,1,0,0,0,0,0,1,0,0,0,1,0,0,0
361,1,0,0,0,0,0,1,0,0,0,1,0,0,0
362,1,0,0,0,0,0,2,0,0,0,1,0,0,0
363,2,0,0,0,0,0,2,0,0,0,1,0,0,0
364,6,0,0,0,0,0,1,0,0,0,5,0,0,0
365,2,0,0,0,0,0,2,0,0,0,1,0,0,0
366,5,0,0,0,0,0,1,0,0,0,1,0,0,0
367,5,0,0,0,0,0,4,0,1,0,8,0,0,0
368,1,0,0,0,0,0,1,0,0,0,0,0,0,0
369,2,0,0,0,0,0,1,0,0,0,0,0,1,0
370,1,0,0,0,0,0,3,0,0,0,0,0,0,0
371,1,0,0,0,0,0,2,0,0,0,0,0,0,0
372,3,0,0,0,0,0,1,0,0,0,1,0,0,0
373,2,0,0,0,0,0,0,0,2,0,0,0,0,0
374,1,0,0,0,0,0,1,0,0,0,0,0,0,0
375,1,0,0,0,0,0,1,0,0,0,1,0,0,0
376,1,0,0,0,0,0,0,0,2,0,0,0,0,0
377,5,0,0,0,0,0,2,0,0,0,2,0,0,0
378,0,0,0,0,0,0,0,0,0,0,3,0,0,0
379,2,0,0,0,0,0,1,0,0,0,2,0,0,0
380,3,0,0,0,0,0,1,0,0,0,5,0,0,0
381,6,0,0,0,0,0,7,0,0,0,4,0,0,0
382,1,0,0,0,0,0,2,0,0,0,0,0,0,0
383,3,0,0,0,0,0,0,0,1,0,2,0,0,0
384,3,0,0,0,0,0,0,0,1,0,2,0,0,0
385,1,0,0,0,0,0,11,0,0,0,1,0,1,0
386,1,0,0,0,0,0,8,0,0,0,6,0,0,0
387,1,0,0,0,0,0,1,0,0,0,1,0,0,0
388,3,0,0,0,0,0,1,0,0,0,1,0,0,0
389,6,0,0,0,3,0,2,0,0,0,0,0,0,0
390,2,0,0,0,0,0,0,0,0,0,0,0,0,0
391,1,0,0,0,0,0,0,0,0,0,0,0,0,0
392,3,0,0,0,0,0,0,0,0,0,0,0,0,0
393,2,0,0,0,0,0,2,0,0,0,0,0,1,0
394,1,0,0,0,0,0,1,0,0,0,0,0,0,0
395,12,0,0,0,0,0,1,0,0,0,1,0,0,0
